,0,1
159,… ich liebe ſie doch gewiß!,"{'entities': [(0, 1, 'MISC')]}"
160,Max.,"{'entities': [(0, 3, 'MISC')]}"
161,Nun ja!,"{'entities': [(0, 7, 'MISC')]}"
162,ein Mann!,{'entities': []}
163,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
164,Die alte dumme Phraſe!,"{'entities': [(15, 21, 'MISC')]}"
165,"Immer wollen wir uns einreden, die Weiber ſeien darin anders als wir!",{'entities': []}
166,"Ja, manche… die, welche die Mutter einſperrt, oder die, welche kein Temperament haben… Ganz gleich ſind wir.","{'entities': [(10, 11, 'PER'), (85, 107, 'MISC')]}"
167,Wenn ich Einer ſage:,{'entities': []}
168,"Ich liebe Dich, nur Dich,— ſo fühle ich nicht, daß ich ſie belüge, auch wenn ich in der Nacht vorher am Buſen einer Andern geruht.","{'entities': [(0, 14, 'MISC')]}"
169,Max.,"{'entities': [(0, 3, 'MISC')]}"
170,Ja… Du! Anatol.,"{'entities': [(8, 14, 'MISC')]}"
171,Ich… ja!,"{'entities': [(0, 8, 'MISC')]}"
172,Und Du vielleicht nicht?,"{'entities': [(4, 6, 'MISC')]}"
173,"Und ſie, meine angebetete Cora, vielleicht nicht?","{'entities': [(26, 30, 'MISC')]}"
174,Oh!,{'entities': []}
175,Und es bringt mich zur Raſerei.,{'entities': []}
176,"Wenn ich auf den Knien vor ihr läge, und ihr ſagte:",{'entities': []}
177,"Mein Schatz, mein Kind—","{'entities': [(0, 23, 'MISC')]}"
178,Alles,{'entities': []}
179,iſt Dir im Vorhin verziehen— aber ſag’ mir die Wahrheit—,"{'entities': [(18, 28, 'PER')]}"
180,was hälfe es mir?,{'entities': []}
181,"Sie würde lügen, wie vorher— und ich wäre ſoweit wie vorher.","{'entities': [(21, 28, 'PER')]}"
182,Hat mich noch Keine angefleht: „Um Himmelswillen!,"{'entities': [(32, 49, 'MISC')]}"
183,Sag mir… biſt Du mir wirklich treu?,"{'entities': [(14, 20, 'MISC')]}"
184,"Kein Wort des Vorwurfs, wenn Du’s nicht biſt;","{'entities': [(0, 9, 'MISC'), (29, 33, 'MISC')]}"
185,aber die Wahrheit!,"{'entities': [(9, 18, 'ORG')]}"
186,ich muß ſie wiſſen“…,"{'entities': [(19, 20, 'MISC')]}"
187,Was hab’ ich drauf gethan?,{'entities': []}
188,"Gelogen… ruhig, mit einem ſeligen Lächeln… mit dem reinſten Gewiſſen.","{'entities': [(0, 8, 'PER'), (41, 42, 'PER'), (60, 68, 'LOC')]}"
189,Warum ſoll ich,{'entities': []}
190,"Dich betrüben, hab’ ich mir gedacht?","{'entities': [(0, 4, 'PER')]}"
191,Und ich ſagte:,{'entities': []}
192,"Ja, mein Engel!","{'entities': [(9, 14, 'PER')]}"
193,Treu bis in den Tod.,"{'entities': [(0, 4, 'PER')]}"
194,Und ſie glaubte mir und war glücklich!,{'entities': []}
195,Max.,"{'entities': [(0, 3, 'MISC')]}"
196,Nun alſo!,{'entities': []}
197,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
198,Aber ich glaube nicht und bin nicht glücklich!,{'entities': []}
199,"Ich wär’ es, wenn es irgend ein untrügliches Mittel gäbe, dieſe dummen, ſüßen, haſſenswerthen Geſchöpfe zum Sprechen zu bringen oder auf irgend eine andere Weiſe die Wahrheit zu erfahren…","{'entities': [(186, 187, 'MISC')]}"
200,"Aber es giebt keines, außer dem Zufall.",{'entities': []}
201,Max.,"{'entities': [(0, 3, 'MISC')]}"
202,Und die Hypnoſe?,{'entities': []}
203,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
204,Wie?,{'entities': []}
205,Max.,"{'entities': [(0, 3, 'MISC')]}"
206,Nun… die Hypnoſe… Ich meine das ſo: Du ſchläferſt ſie ein und ſprichſt:,{'entities': []}
207,Du mußt mir die Wahrheit ſagen.,{'entities': []}
208,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
209,Hm… Max.,"{'entities': [(0, 7, 'MISC')]}"
210,Du mußt… Hörſt Du… Anatol.,{'entities': []}
211,Sonderbar,"{'entities': [(0, 9, 'PER')]}"
212,!,{'entities': []}
213,… Max.,"{'entities': [(2, 5, 'PER')]}"
214,Es müßte doch gehen…,"{'entities': [(19, 20, 'MISC')]}"
215,Und nun frägſt Du ſie weiter… Liebſt Du mich?,"{'entities': [(15, 39, 'MISC')]}"
216,…,"{'entities': [(0, 1, 'MISC')]}"
217,Einen Andern?,"{'entities': [(6, 12, 'MISC')]}"
218,… Woher kommſt Du?,"{'entities': [(15, 17, 'MISC')]}"
219,… Wohin gehſt Du?,{'entities': []}
220,… Wie heißt jener Andere?,{'entities': []}
221,… Und ſo weiter.,"{'entities': [(0, 1, 'MISC')]}"
222,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
223,Max!,"{'entities': [(0, 4, 'PER')]}"
224,Max!,"{'entities': [(0, 4, 'PER')]}"
225,Max.,"{'entities': [(0, 3, 'MISC')]}"
226,Nun… Anatol.,"{'entities': [(5, 11, 'LOC')]}"
227,Du haſt Recht!,"{'entities': [(0, 14, 'MISC')]}"
228,… man könnte ein Zauberer ſein!,"{'entities': [(0, 1, 'MISC')]}"
229,Man könnte ſich ein wahres Wort aus einem Weibermund hervorhexen… Max.,"{'entities': [(66, 69, 'LOC')]}"
230,Nun alſo?,{'entities': []}
231,Ich ſehe Dich gerettet!,"{'entities': [(0, 13, 'MISC')]}"
232,"Cora iſt ja gewiß ein geeignetes Medium… heute Abend noch kannſt Du wiſſen, ob Du ein Betrogener biſt… oder ein… Anatol.","{'entities': [(0, 4, 'MISC'), (47, 52, 'LOC'), (58, 67, 'ORG'), (79, 81, 'PER'), (101, 102, 'PER'), (111, 119, 'MISC')]}"
233,Oder ein Gott!,"{'entities': [(0, 4, 'PER')]}"
234,… Max!… Ich umarme Dich!,"{'entities': [(0, 6, 'ORG')]}"
235,… Ich fühle mich wie befreit…,"{'entities': [(28, 29, 'MISC')]}"
236,ich bin ein ganz Anderer.,{'entities': []}
237,Ich habe ſie in meiner Macht… Max.,"{'entities': [(28, 33, 'ORG')]}"
238,Ich bin wahrhaftig neugierig… Anatol.,"{'entities': [(0, 7, 'MISC'), (28, 36, 'MISC')]}"
239,Wieſo?,"{'entities': [(0, 5, 'PER')]}"
240,Zweifelſt Du etwa?,"{'entities': [(0, 12, 'ORG')]}"
241,Max.,"{'entities': [(0, 3, 'MISC')]}"
242,"Ach ſo, die Andern dürfen nicht zweifeln, nur Du… Anatol.","{'entities': [(12, 18, 'MISC'), (46, 56, 'MISC')]}"
243,"Gewiß!… Wenn ein Ehemann aus dem Hauſe tritt, wo er eben ſeine Frau mit ihrem Liebhaber entdeckt hat und ein Freund tritt ihm entgegen mit den Worten:","{'entities': [(0, 6, 'ORG')]}"
244,"Ich glaube, Deine Gattin betrügt Dich, ſo wird er nicht antworten:","{'entities': [(12, 24, 'PER'), (33, 37, 'PER')]}"
245,Ich habe ſoeben die Ueberzeugung gewonnen… ſondern:,"{'entities': [(41, 42, 'MISC')]}"
246,Du biſt ein Schurke… Max.,"{'entities': [(19, 24, 'ORG')]}"
247,"Ja, ich hatte faſt vergeſſen, daß es die erſte Freundespflicht iſt— dem Freund ſeine Illuſionen zu laſſen.",{'entities': []}
248,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
249,Still doch… Max.,"{'entities': [(0, 5, 'PER'), (10, 15, 'ORG')]}"
250,Was iſt’s?,{'entities': []}
251,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
252,Hörſt Du ſie nicht?,"{'entities': [(0, 8, 'ORG')]}"
253,"Ich kenne die Schritte, auch wenn ſie noch in der Hausflur hallen.","{'entities': [(0, 22, 'MISC'), (50, 58, 'LOC')]}"
254,Max.,"{'entities': [(0, 3, 'MISC')]}"
255,Ich höre nichts.,{'entities': []}
256,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
257,Wie nahe ſchon!,{'entities': []}
258,… Auf dem Gange… (öffnet die Thür.),"{'entities': [(29, 33, 'LOC')]}"
259,Cora!,"{'entities': [(0, 5, 'ORG')]}"
260,Cora,"{'entities': [(0, 4, 'MISC')]}"
261,.,{'entities': []}
262,(Draußen.,"{'entities': [(1, 8, 'ORG')]}"
263,),{'entities': []}
264,Guten Abend!,"{'entities': [(0, 11, 'ORG')]}"
265,O,"{'entities': [(0, 1, 'MISC')]}"
266,Du biſt nicht allein… Anatol.,"{'entities': [(20, 28, 'MISC')]}"
267,Freund Max! Cora (hereintretend).,"{'entities': [(7, 16, 'PER')]}"
268,Guten Abend!,"{'entities': [(0, 11, 'ORG')]}"
269,"Ei, im Dunklen?… Anatol.","{'entities': [(0, 2, 'MISC'), (17, 23, 'LOC')]}"
270,"Ach, es dämmert ja noch.",{'entities': []}
271,"Du weißt, das liebe ich.",{'entities': []}
272,Cora (ihm die Haare ſtreichelnd).,"{'entities': [(0, 4, 'MISC')]}"
273,Mein kleiner Dichter!,"{'entities': [(0, 21, 'MISC')]}"
274,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
275,Meine liebſte Cora!,"{'entities': [(0, 19, 'MISC')]}"
276,Cora.,"{'entities': [(0, 4, 'LOC')]}"
277,Aber ich werde immerhin Licht machen… Du erlaubſt.,"{'entities': [(36, 40, 'ORG')]}"
278,(Sie zündet die Kerzen in den Leuchtern an) Anatol (zu Max).,"{'entities': [(44, 50, 'MISC'), (55, 58, 'MISC')]}"
279,Iſt ſie nicht reizend?,{'entities': []}
280,Max.,"{'entities': [(0, 3, 'MISC')]}"
281,Oh! Cora.,"{'entities': [(0, 3, 'ORG'), (4, 8, 'LOC')]}"
282,Nun wie geht’s?,{'entities': []}
283,"Dir, Anatol— Ihnen, Max?","{'entities': [(5, 18, 'PER'), (20, 23, 'PER')]}"
284,—,{'entities': []}
285,Plaudert Ihr ſchon lange?,"{'entities': [(0, 12, 'PER')]}"
286,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
287,Eine halbe Stunde. Cora.,"{'entities': [(19, 23, 'LOC')]}"
288,So.,"{'entities': [(0, 3, 'PER')]}"
289,(Sie legt Hut und Mantel ab.),"{'entities': [(18, 24, 'LOC')]}"
290,Und worüber?,{'entities': []}
291,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
292,Ueber dies und Jenes.,{'entities': []}
293,Max Ueber die Hypnoſe.,"{'entities': [(0, 9, 'PER')]}"
294,Cora.,"{'entities': [(0, 4, 'LOC')]}"
295,O ſchon wieder die Hypnoſe!,"{'entities': [(19, 27, 'ORG')]}"
296,man wird ja ſchon ganz dumm davon.,{'entities': []}
297,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
298,Nun… Cora.,"{'entities': [(5, 9, 'LOC')]}"
299,"Du, Anatol, ich möchte, daß Du einmal mich hypnotiſirſt.","{'entities': [(4, 10, 'MISC'), (28, 30, 'MISC')]}"
300,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
301,Ich… Dich…? Cora.,"{'entities': [(12, 16, 'LOC')]}"
302,"Ja, ich ſtelle mir das ſehr hübſch vor.",{'entities': []}
303,"Das heißt,— von Dir.","{'entities': [(16, 19, 'PER')]}"
304,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
305,Danke.,"{'entities': [(0, 5, 'PER')]}"
306,Cora.,"{'entities': [(0, 4, 'LOC')]}"
307,"Von einem Fremden… nein, nein, das wollt’ ich nicht.","{'entities': [(35, 41, 'MISC')]}"
308,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
309,"Nun, mein Schatz… wenn Du willſt, hypnotiſire ich Dich.","{'entities': [(16, 17, 'MISC'), (50, 54, 'LOC')]}"
310,Cora.,"{'entities': [(0, 4, 'LOC')]}"
311,Wann?,{'entities': []}
312,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
313,Jetzt!,{'entities': []}
314,"Sofort, auf der Stelle.",{'entities': []}
315,Cora.,"{'entities': [(0, 4, 'LOC')]}"
316,Ja,{'entities': []}
317,!,{'entities': []}
318,Gut,{'entities': []}
319,!,{'entities': []}
320,Was muß ich thun?,{'entities': []}
321,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
322,"Nichts Anderes, mein Kind, als ruhig auf dem Fauteuil ſitzen bleiben und den guten Willen haben, einzuſchlafen.","{'entities': [(0, 14, 'PER')]}"
323,Cora.,"{'entities': [(0, 4, 'LOC')]}"
324,O ich habe den guten Willen!,{'entities': []}
325,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
